name,start_date_local,type,distance_meters,moving_time_sec,elapsed_time,elevation_gain_m,average_heartrate,max_heartrate,average_speed,start_time,start_date,week_start,distance_miles,elevation_gain_ft,moving_time,running_pace,avg_speed_mph
Morning Ride,2020-09-09T05:34:48Z,Ride,24776.0,3610,01:00:10,3.0,144.1,160.0,6.8629999999999995,05:34:48,2020-09-09,2020-09-07,15.3984,9.84,01:00:10,,15.35
Evening Ride,2020-09-07T19:33:43Z,Ride,13788.0,1805,00:30:05,6.0,156.2,179.0,7.638999999999999,19:33:43,2020-09-07,2020-09-07,8.5693,19.69,00:30:05,,17.09
Afternoon Run,2020-09-06T13:07:34Z,Run,15043.0,4188,01:12:04,132.0,173.2,251.0,3.592,13:07:34,2020-09-06,2020-08-31,9.3493,433.07,01:09:48,07:27,8.04
Z2 HR Training,2020-09-04T05:29:27Z,Run,12541.0,3904,01:05:04,51.0,144.2,180.0,3.2119999999999997,05:29:27,2020-09-04,2020-08-31,7.7943,167.32,01:05:04,08:20,7.19
Trainer Test 3: with bike pod ,2020-09-02T19:58:27Z,Ride,11691.0,1875,00:33:31,0.0,,,6.235,19:58:27,2020-09-02,2020-08-31,7.266,0.0,00:31:15,,13.95
Trainer test 2,2020-09-01T19:49:18Z,Ride,3.0,1,00:30:43,0.0,104.0,192.0,3.0,19:49:18,2020-09-01,2020-08-31,0.0019,0.0,00:00:01,,6.71
Trying out the trainer,2020-08-31T19:57:41Z,Ride,2.0,1,00:30:02,0.0,172.0,191.0,2.0,19:57:41,2020-08-31,2020-08-31,0.0012,0.0,00:00:01,,4.47
Afternoon Ride,2020-08-30T13:16:13Z,Ride,19520.0,3591,01:31:03,75.0,144.4,188.0,5.436,13:16:13,2020-08-30,2020-08-24,12.1318,246.06,00:59:51,,12.16
Morning Ride,2020-08-29T10:14:11Z,Ride,17481.0,2211,00:41:28,99.0,,,7.906000000000001,10:14:11,2020-08-29,2020-08-24,10.8645,324.8,00:36:51,,17.69
Morning Run,2020-08-27T05:29:55Z,Run,8263.0,2469,00:41:12,66.0,,,3.347,05:29:55,2020-08-27,2020-08-24,5.1355,216.54,00:41:09,08:00,7.49
Evening Run,2020-08-25T19:51:45Z,Run,7722.0,2010,00:34:58,18.0,,,3.842,19:51:45,2020-08-25,2020-08-24,4.7993,59.06,00:33:30,06:58,8.59
Lunch Ride,2020-08-22T11:16:24Z,Ride,20422.0,3771,01:28:58,134.0,,,5.416,11:16:24,2020-08-22,2020-08-17,12.6924,439.63,01:02:51,,12.12
Morning Run,2020-08-18T05:19:45Z,Run,13306.0,3642,01:00:42,89.0,,,3.653,05:19:45,2020-08-18,2020-08-17,8.2697,291.99,01:00:42,07:20,8.17
WU,2020-08-08T09:32:03Z,Run,2010.0,545,00:09:10,6.0,154.1,188.0,3.688,09:32:03,2020-08-08,2020-08-03,1.2492,19.69,00:09:05,07:16,8.25
Afternoon Run,2020-08-05T17:54:57Z,Run,7059.0,2359,00:56:59,24.0,,,2.992,17:54:57,2020-08-05,2020-08-03,4.3872,78.74,00:39:19,08:57,6.69
Morning Run,2020-08-04T05:28:36Z,Run,6134.0,2201,00:39:46,51.0,,,2.787,05:28:36,2020-08-04,2020-08-03,3.8123,167.32,00:36:41,09:37,6.23
Afternoon Run,2020-08-03T17:46:52Z,Run,6187.0,2067,00:49:03,15.0,,,2.9930000000000003,17:46:52,2020-08-03,2020-08-03,3.8452,49.21,00:34:27,08:57,6.7
Shakeout ride pulling Riv,2020-08-02T14:57:04Z,Ride,17038.0,3198,00:55:46,81.0,114.3,147.0,5.327999999999999,14:57:04,2020-08-02,2020-07-27,10.5892,265.75,00:53:18,,11.92
Marathon Training Run. 40(?) Min PR. Ooph! @runforrivs,2020-08-01T05:16:29Z,Run,42184.0,11137,03:15:46,147.0,167.0,201.0,3.7880000000000003,05:16:29,2020-08-01,2020-07-27,26.2175,482.28,03:05:37,07:04,8.47
Morning Run,2020-07-30T05:29:54Z,Run,6816.0,2275,00:42:56,69.0,,,2.9960000000000004,05:29:54,2020-07-30,2020-07-27,4.2362,226.38,00:37:55,08:57,6.7
Afternoon Run,2020-07-29T17:30:31Z,Run,10889.0,3300,01:07:00,36.0,,,3.3,17:30:31,2020-07-29,2020-07-27,6.7676,118.11,00:55:00,08:07,7.38
"Tempo Day: 3 mi Wu, 4 mi tempo @ 5:57 avg, 2 mi cd",2020-07-28T05:08:16Z,Run,14507.0,4026,01:09:38,51.0,154.4,188.0,3.603,05:08:16,2020-07-28,2020-07-27,9.0162,167.32,01:07:06,07:26,8.06
Morning Run,2020-07-27T05:16:34Z,Run,9984.0,3351,00:57:34,72.0,129.5,159.0,2.9789999999999996,05:16:34,2020-07-27,2020-07-27,6.2051,236.22,00:55:51,09:00,6.66
Krupp Farms Pt. II: Raspberry Edition,2020-07-25T05:43:20Z,Run,27843.0,7782,02:12:46,156.0,158.9,198.0,3.5780000000000003,05:43:20,2020-07-25,2020-07-20,17.3045,511.81,02:09:42,07:29,8.0
Stretch? Who actually stretches...,2020-07-24T05:07:26Z,Run,4020.0,1473,00:26:34,21.0,120.8,133.0,2.7289999999999996,05:07:26,2020-07-24,2020-07-20,2.4984,68.9,00:24:33,09:49,6.1
Legs were feeling rough. Watch stopped 1 mile early.,2020-07-23T05:09:02Z,Run,9050.0,3139,00:55:17,36.0,,,2.883,05:09:02,2020-07-23,2020-07-20,5.6246,118.11,00:52:19,09:18,6.45
Evening Run,2020-07-22T19:53:30Z,Run,9772.0,2814,00:47:14,64.0,,,3.4730000000000003,19:53:30,2020-07-22,2020-07-20,6.0733,209.97,00:46:54,07:43,7.77
4 Mile Tempo + Wu/cd,2020-07-21T04:59:07Z,Run,13292.0,3781,01:07:13,42.0,153.2,188.0,3.515,04:59:07,2020-07-21,2020-07-20,8.261,137.8,01:03:01,07:37,7.86
Lunch Run,2020-07-20T12:29:55Z,Run,9701.0,2819,00:47:21,42.0,,,3.4410000000000003,12:29:55,2020-07-20,2020-07-20,6.0292,137.8,00:46:59,07:47,7.7
Morning Trudge. Good morning!,2020-07-18T05:10:23Z,Run,30988.0,8949,02:31:32,183.0,,,3.463,05:10:23,2020-07-18,2020-07-13,19.2592,600.39,02:29:09,07:44,7.75
Evening stroller,2020-07-16T17:42:34Z,Run,11107.0,3373,00:59:51,39.0,,,3.293,17:42:34,2020-07-16,2020-07-13,6.903,127.95,00:56:13,08:08,7.37
Evening Run,2020-07-15T19:24:53Z,Run,7276.0,2211,00:36:54,60.0,,,3.2910000000000004,19:24:53,2020-07-15,2020-07-13,4.5221,196.85,00:36:51,08:08,7.36
Hilarious attempt at mile repeats.,2020-07-14T16:11:32Z,Run,12384.0,3626,01:06:33,18.0,172.5,192.0,3.415,16:11:32,2020-07-14,2020-07-13,7.6967,59.06,01:00:26,07:51,7.64
Morning Run,2020-07-13T05:43:54Z,Run,3268.0,1154,00:19:14,15.0,,,2.832,05:43:54,2020-07-13,2020-07-13,2.0311,49.21,00:19:14,09:28,6.34
Lunch Run,2020-07-12T12:31:09Z,Run,14835.0,4186,01:12:32,132.0,154.3,176.0,3.5439999999999996,12:31:09,2020-07-12,2020-07-06,9.22,433.07,01:09:46,07:34,7.93
Afternoon Run,2020-07-10T17:54:05Z,Run,8134.0,2627,00:50:08,27.0,,,3.096,17:54:05,2020-07-10,2020-07-06,5.0553,88.58,00:43:47,08:39,6.93
Recovery,2020-07-09T05:14:48Z,Run,9380.0,3016,00:50:41,33.0,,,3.11,05:14:48,2020-07-09,2020-07-06,5.8297,108.27,00:50:16,08:37,6.96
2 quick miles on the track. Not fun in the heat.,2020-07-08T12:36:09Z,Run,10028.0,2982,00:53:53,27.0,152.7,188.0,3.363,12:36:09,2020-07-08,2020-07-06,6.2324,88.58,00:49:42,07:58,7.52
Heat Training....I guess.,2020-07-07T12:14:56Z,Run,12596.0,3589,01:02:45,48.0,,,3.51,12:14:56,2020-07-07,2020-07-06,7.8285,157.48,00:59:49,07:38,7.85
Lap o lakes. Ded.,2020-07-05T05:08:21Z,Run,32263.8,9516,02:44:50,216.0,,,3.39,05:08:21,2020-07-05,2020-06-29,20.0521,708.66,02:38:36,07:54,7.58
Sleeping Bear Heritage Trail,2020-07-02T08:25:16Z,Run,10756.7,3150,00:55:03,75.3,,,3.415,08:25:16,2020-07-02,2020-06-29,6.6853,247.05,00:52:30,07:51,7.64
Morning Run,2020-06-30T05:12:31Z,Run,13622.0,3721,01:04:47,51.0,156.1,185.0,3.661,05:12:31,2020-06-30,2020-06-29,8.4661,167.32,01:02:01,07:19,8.19
Morning Run,2020-06-29T05:17:58Z,Run,9918.0,3190,00:59:28,33.0,,,3.109,05:17:58,2020-06-29,2020-06-29,6.1641,108.27,00:53:10,08:37,6.95
Nothing like a muggy Michigan morning,2020-06-27T05:07:53Z,Run,29954.0,9004,02:35:12,159.0,151.2,187.0,3.327,05:07:53,2020-06-27,2020-06-22,18.6165,521.65,02:30:04,08:03,7.44
Afternoon Run,2020-06-26T16:13:52Z,Run,8996.0,2704,00:48:26,30.0,,,3.327,16:13:52,2020-06-26,2020-06-22,5.5911,98.43,00:45:04,08:03,7.44
Pretty sore today,2020-06-25T05:17:46Z,Run,9742.0,3075,00:53:52,21.0,,,3.168,05:17:46,2020-06-25,2020-06-22,6.0547,68.9,00:51:15,08:27,7.09
Evening Run,2020-06-24T18:09:38Z,Run,6200.0,1819,00:48:24,21.0,150.0,176.0,3.408,18:09:38,2020-06-24,2020-06-22,3.8533,68.9,00:30:19,07:52,7.62
Some 1k's and a HR PR (?),2020-06-23T05:12:53Z,Run,13033.0,3889,01:14:17,9.0,149.2,200.0,3.3510000000000004,05:12:53,2020-06-23,2020-06-22,8.1001,29.53,01:04:49,08:00,7.5
Morning Run,2020-06-22T05:18:32Z,Run,8379.0,2771,00:48:48,21.0,,,3.0239999999999996,05:18:32,2020-06-22,2020-06-22,5.2076,68.9,00:46:11,08:52,6.76
Run to the strawberry fields,2020-06-20T05:13:24Z,Run,28061.0,8121,02:16:17,135.0,154.1,205.0,3.455,05:13:24,2020-06-20,2020-06-15,17.44,442.91,02:15:21,07:45,7.73
Morning Run,2020-06-19T05:12:09Z,Run,8306.6,2660,00:44:50,85.0,,,3.123,05:12:09,2020-06-19,2020-06-15,5.1626,278.87,00:44:20,08:35,6.99
Afternoon Run,2020-06-18T17:07:29Z,Run,8118.0,2566,00:48:34,27.0,,,3.1639999999999997,17:07:29,2020-06-18,2020-06-15,5.0454,88.58,00:42:46,08:28,7.08
Morning Run,2020-06-17T05:13:18Z,Run,7851.7,2499,00:41:39,74.0,,,3.142,05:13:18,2020-06-17,2020-06-15,4.8799,242.78,00:41:39,08:32,7.03
4 mi tempo,2020-06-16T05:13:38Z,Run,14666.7,4146,01:13:09,99.0,,,3.5380000000000003,05:13:38,2020-06-16,2020-06-15,9.1154,324.8,01:09:06,07:34,7.91
Morning Run,2020-06-15T05:09:12Z,Run,8133.4,2560,00:44:54,40.0,,,3.177,05:09:12,2020-06-15,2020-06-15,5.0549,131.23,00:42:40,08:26,7.11
Run number 2 but with a stroller. Ugh,2020-06-13T14:44:02Z,Run,11848.0,3253,00:55:10,112.0,,,3.642,14:44:02,2020-06-13,2020-06-08,7.3636,367.45,00:54:13,07:21,8.15
Morning Run,2020-06-13T05:24:10Z,Run,12754.1,3696,01:01:36,103.0,,,3.451,05:24:10,2020-06-13,2020-06-08,7.9267,337.93,01:01:36,07:46,7.72
EGR with stroller,2020-06-12T18:01:15Z,Run,6975.2,2040,00:44:40,37.0,,,3.4189999999999996,18:01:15,2020-06-12,2020-06-08,4.3351,121.39,00:34:00,07:50,7.65
Morning Run,2020-06-11T05:05:38Z,Run,6580.4,2076,00:36:05,66.0,,,3.17,05:05:38,2020-06-11,2020-06-08,4.0897,216.54,00:34:36,08:27,7.09
Morning Run,2020-06-10T05:15:39Z,Run,8217.7,2736,00:45:36,105.0,,,3.0039999999999996,05:15:39,2020-06-10,2020-06-08,5.1073,344.49,00:45:36,08:55,6.72
Time trial = Ooph,2020-06-09T04:58:36Z,Run,12911.4,3684,01:02:24,57.0,,,3.505,04:58:36,2020-06-09,2020-06-08,8.0245,187.01,01:01:24,07:39,7.84
Legs were pretty tired this morning,2020-06-08T05:28:24Z,Run,7646.0,2642,00:47:08,30.0,,,2.8939999999999997,05:28:24,2020-06-08,2020-06-08,4.752,98.43,00:44:02,09:15,6.47
I got it in,2020-06-07T20:34:13Z,Run,6548.0,1758,00:29:25,18.0,,,3.725,20:34:13,2020-06-07,2020-06-01,4.0696,59.06,00:29:18,07:11,8.33
So many rabbits,2020-06-06T05:15:08Z,Run,19391.6,5956,02:00:30,149.0,,,3.2560000000000002,05:15:08,2020-06-06,2020-06-01,12.052,488.85,01:39:16,08:14,7.28
Morning Ride,2020-06-05T05:15:05Z,Ride,30723.9,4119,01:09:10,216.0,,,7.459,05:15:05,2020-06-05,2020-06-01,19.095,708.66,01:08:39,,16.69
Morning Run,2020-06-04T05:47:04Z,Run,6777.0,2088,00:34:53,57.0,,,3.2460000000000004,05:47:04,2020-06-04,2020-06-01,4.2119,187.01,00:34:48,08:15,7.26
Short little tempo,2020-06-03T05:47:14Z,Run,9688.0,2658,00:44:48,15.0,,,3.645,05:47:14,2020-06-03,2020-06-01,6.0211,49.21,00:44:18,07:21,8.15
Morning Run with the neighbor,2020-06-02T05:34:27Z,Run,6549.4,2711,00:45:49,37.0,,,2.416,05:34:27,2020-06-02,2020-06-01,4.0705,121.39,00:45:11,11:06,5.4
Morning Run,2020-06-01T05:59:08Z,Run,4870.0,1712,00:28:32,36.0,,,2.845,05:59:08,2020-06-01,2020-06-01,3.0267,118.11,00:28:32,09:25,6.36
A bit tense downtown,2020-05-31T14:30:42Z,Run,9688.0,3118,01:06:13,72.0,,,3.1069999999999998,14:30:42,2020-05-31,2020-05-25,6.0211,236.22,00:51:58,08:37,6.95
Getting back into it,2020-05-30T05:15:53Z,Run,16283.3,4935,01:22:55,126.0,,,3.3,05:15:53,2020-05-30,2020-05-25,10.1201,413.39,01:22:15,08:07,7.38
Evening Run,2020-05-28T19:56:41Z,Run,8162.0,2156,00:35:56,9.0,,,3.786,19:56:41,2020-05-28,2020-05-25,5.0727,29.53,00:35:56,07:05,8.47
Morning Run,2020-05-27T05:52:17Z,Run,6946.0,2206,00:36:46,33.0,,,3.1489999999999996,05:52:17,2020-05-27,2020-05-25,4.317,108.27,00:36:46,08:31,7.04
Morning Run,2020-05-26T05:58:15Z,Run,6530.0,2045,00:35:04,51.0,,,3.193,05:58:15,2020-05-26,2020-05-25,4.0584,167.32,00:34:05,08:23,7.14
Stroller with Riv,2020-05-24T12:42:10Z,Run,11486.0,3643,01:04:55,54.0,,,3.153,12:42:10,2020-05-24,2020-05-18,7.1386,177.17,01:00:43,08:30,7.05
Tour de GR,2020-05-23T04:56:48Z,Ride,40584.0,5723,01:36:22,264.0,,,7.091,04:56:48,2020-05-23,2020-05-18,25.2231,866.14,01:35:23,,15.86
Morning Run,2020-05-22T05:38:16Z,Run,8196.0,2515,00:42:06,9.0,,,3.259,05:38:16,2020-05-22,2020-05-18,5.0938,29.53,00:41:55,08:13,7.29
Bike with Riv,2020-05-02T09:00:17Z,Ride,48441.3,7070,01:57:50,0.0,,,6.852,09:00:17,2020-05-02,2020-04-27,30.1065,0.0,01:57:50,,15.33
Quick flush,2020-04-29T09:22:03Z,Ride,14484.1,1770,00:29:30,0.0,,,8.183,09:22:03,2020-04-29,2020-04-27,9.0019,0.0,00:29:30,,18.3
Bike with Riv,2020-04-25T08:34:25Z,Ride,33796.2,4667,01:17:47,0.0,,,7.242000000000001,08:34:25,2020-04-25,2020-04-20,21.0045,0.0,01:17:47,,16.2
That was fun,2019-10-12T12:03:05Z,Run,11789.1,5368,01:32:38,643.0,,,2.1959999999999997,12:03:05,2019-10-12,2019-10-07,7.327,2109.58,01:29:28,12:12,4.91
Just a little balmy,2019-10-10T13:14:20Z,Run,12503.4,3696,01:08:57,198.0,,,3.383,13:14:20,2019-10-10,2019-10-07,7.7709,649.61,01:01:36,07:55,7.57
Morning commute,2019-07-15T05:08:48Z,Run,17393.0,5657,01:34:34,111.6,,,3.075,05:08:48,2019-07-15,2019-07-15,10.8098,366.14,01:34:17,08:43,6.88
Church of the early morning long run,2019-07-13T06:16:48Z,Run,25500.5,7848,02:18:43,171.2,,,3.2489999999999997,06:16:48,2019-07-13,2019-07-08,15.8487,561.68,02:10:48,08:15,7.27
Back at it: 2x2mi,2019-06-25T19:47:52Z,Run,6497.4,1578,00:28:08,47.2,,,4.117,19:47:52,2019-06-25,2019-06-24,4.0382,154.86,00:26:18,06:30,9.21
Afternoon Run,2019-04-07T13:48:19Z,Run,11079.3,4299,01:21:21,2.4,,,2.577,13:48:19,2019-04-07,2019-04-01,6.8858,7.87,01:11:39,10:24,5.76
Afternoon Run,2019-04-05T13:02:26Z,Run,9382.8,3900,01:06:49,0.0,,,2.406,13:02:26,2019-04-05,2019-04-01,5.8314,0.0,01:05:00,11:08,5.38
South mountain with chris,2019-02-09T08:02:22Z,Run,14869.6,5235,01:35:26,363.4,,,2.84,08:02:22,2019-02-09,2019-02-04,9.2415,1192.26,01:27:15,09:26,6.35
Speed test,2019-02-05T12:51:35Z,Run,10498.5,2951,00:52:42,192.7,,,3.5580000000000003,12:51:35,2019-02-05,2019-02-04,6.5249,632.22,00:49:11,07:32,7.96
Going for broke,2019-02-02T10:12:27Z,Run,7510.3,5887,01:51:04,667.1,,,1.276,10:12:27,2019-02-02,2019-01-28,4.6677,2188.65,01:38:07,21:01,2.85
Lunch Run,2019-01-31T10:30:56Z,Run,11720.2,4784,01:42:55,115.5,,,2.45,10:30:56,2019-01-31,2019-01-28,7.2842,378.94,01:19:44,10:56,5.48
Nice stroll with my kid,2019-01-30T11:06:15Z,Run,16560.4,6994,02:04:56,154.2,,,2.3680000000000003,11:06:15,2019-01-30,2019-01-28,10.2924,505.91,01:56:34,11:19,5.3
Blehck. Spinning my wheels.,2019-01-27T11:31:13Z,Run,14817.4,5378,01:32:32,423.7,,,2.755,11:31:13,2019-01-27,2019-01-21,9.2091,1390.09,01:29:38,09:43,6.16
Afternoon Run,2019-01-24T14:37:30Z,Run,5383.1,247788,68:53:06,47.1,,,0.022000000000000002,14:37:30,2019-01-24,2019-01-21,3.3456,154.53,68:49:48,1234:23,0.05
Why run in the mountains when you can run on a track?,2019-01-23T14:43:49Z,Run,3445.3,1071,00:18:04,0.0,,,3.217,14:43:49,2019-01-23,2019-01-21,2.1413,0.0,00:17:51,08:20,7.2
"Picacho State Park ""10k""",2019-01-22T12:42:50Z,Run,10303.7,5605,01:37:37,703.5,,,1.838,12:42:50,2019-01-22,2019-01-21,6.4038,2308.07,01:33:25,14:35,4.11
Lunch Run,2019-01-20T10:39:08Z,Run,8110.1,4129,01:13:37,477.6,,,1.964,10:39:08,2019-01-20,2019-01-14,5.0405,1566.93,01:08:49,13:39,4.39
Run up a mountain,2019-01-11T12:51:06Z,Run,2868.2,1868,00:34:43,217.4,,,1.535,12:51:06,2019-01-11,2019-01-07,1.7826,713.25,00:31:08,17:27,3.43
Afternoon Run,2017-06-08T17:00:00Z,Run,12874.8,3600,01:00:00,0.0,,,3.576,17:00:00,2017-06-08,2017-06-05,8.0017,0.0,01:00:00,07:29,8.0
Track workout,2017-06-06T10:00:00Z,Run,9656.1,2220,00:37:00,0.0,,,4.35,10:00:00,2017-06-06,2017-06-05,6.0013,0.0,00:37:00,06:09,9.73
Easy Noon Run,2017-06-05T10:00:00Z,Run,6437.4,1920,00:32:00,0.0,,,3.353,10:00:00,2017-06-05,2017-06-05,4.0009,0.0,00:32:00,07:59,7.5
Noon run - taper,2017-06-04T09:00:18Z,Run,16093.4,4380,01:13:00,0.0,,,3.674,09:00:18,2017-06-04,2017-05-29,10.0021,0.0,01:13:00,07:17,8.22
Rise and shine,2017-06-03T03:00:31Z,Run,5793.6,1800,00:30:00,0.0,,,3.219,03:00:31,2017-06-03,2017-05-29,3.6007,0.0,00:30:00,08:19,7.2
Rise and shine,2017-06-01T06:11:59Z,Run,6602.6,2033,00:35:24,91.4,,,3.248,06:11:59,2017-06-01,2017-05-29,4.1035,299.87,00:33:53,08:15,7.27
Afternoon Run,2017-05-31T17:54:35Z,Run,9846.3,3329,00:56:00,83.6,,,2.958,17:54:35,2017-05-31,2017-05-29,6.1195,274.28,00:55:29,09:03,6.62
Afternoon Run,2017-05-30T17:30:00Z,Run,16093.4,4320,01:12:00,0.0,,,3.725,17:30:00,2017-05-30,2017-05-29,10.0021,0.0,01:12:00,07:11,8.33
Noon Run,2017-05-29T12:00:00Z,Run,8046.7,2160,00:36:00,0.0,,,3.725,12:00:00,2017-05-29,2017-05-29,5.0011,0.0,00:36:00,07:11,8.33
